Date,Description,Amount
2026-03-01,PELOTON APP MEMBERSHIP,-12.99
2026-03-02,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-03-03,NETFLIX.COM 866-579-7172 CA,-15.99
2026-03-03,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-03-03,AMAZON.COM*MARKETPLACE,-26.76
2026-03-06,DIRECT DEP EMPLOYER PAYROLL,3176.99
2026-03-06,UBER TRIP,-27.91
2026-03-06,CVS PHARMACY,-28.29
2026-03-08,DISNEY PLUS,-13.99
2026-03-08,PG&E ELECTRIC UTILITY,-97.09
2026-03-09,VERIZON WIRELESS PAYMENT,-85.00
2026-03-10,SPOTIFY USA,-10.99
2026-03-13,APPLE.COM/BILL ICLOUD+,-2.99
2026-03-15,TARGET,-59.73
2026-03-15,UBER TRIP,-11.76
2026-03-16,TRADER JOE'S,-25.91
2026-03-16,UBER TRIP,-14.73
2026-03-17,ADOBE CREATIVE CLOUD,-54.99
2026-03-18,AMAZON.COM*MARKETPLACE,-119.76
2026-03-19,NYTIMES*DIGITAL SUBSCRIPTION,-17.00
2026-03-19,HOME DEPOT,-137.86
2026-03-19,UBER TRIP,-14.43
2026-03-20,DIRECT DEP EMPLOYER PAYROLL,3242.54
2026-03-22,UBER TRIP,-18.56
2026-03-22,SHELL OIL,-51.91
2026-03-23,WHOLE FOODS MARKET,-38.88
2026-03-23,TARGET,-108.15
2026-03-24,AUDIBLE*AMZN.COM/BILL,-14.95
2026-03-28,TRADER JOE'S,-55.72
2026-03-28,TARGET,-32.48
2026-03-31,UBER TRIP,-30.54
2026-04-01,AMAZON.COM*MARKETPLACE,-16.56
2026-04-01,UBER TRIP,-14.61
2026-04-02,PELOTON APP MEMBERSHIP,-12.99
2026-04-02,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-04-03,DIRECT DEP EMPLOYER PAYROLL,3218.82
2026-04-04,NETFLIX.COM 866-579-7172 CA,-15.99
2026-04-04,LOCAL BISTRO RESTAURANT,-68.86
2026-04-04,UBER TRIP,-22.81
2026-04-05,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-04-06,VERIZON WIRELESS PAYMENT,-85.00
2026-04-06,UBER TRIP,-28.79
2026-04-06,CHEVRON GAS STATION,-59.77
2026-04-07,DISNEY PLUS,-13.99
2026-04-11,SPOTIFY USA,-10.99
2026-04-12,PG&E ELECTRIC UTILITY,-114.47
2026-04-12,CHEVRON GAS STATION,-42.74
2026-04-14,APPLE.COM/BILL ICLOUD+,-2.99
2026-04-14,AMAZON PRIME*MEMBERSHIP,-139.00
2026-04-16,BEST BUY,-190.09
2026-04-17,DIRECT DEP EMPLOYER PAYROLL,3171.96
2026-04-17,AMAZON.COM*MARKETPLACE,-94.65
2026-04-17,AMAZON.COM*MARKETPLACE,-80.22
2026-04-20,ADOBE CREATIVE CLOUD,-54.99
2026-04-21,HOME DEPOT,-125.71
2026-04-22,NYTIMES*DIGITAL SUBSCRIPTION,-17.00
2026-04-24,AUDIBLE*AMZN.COM/BILL,-14.95
2026-04-25,TARGET,-86.27
2026-04-27,TRADER JOE'S,-57.47
2026-04-27,UBER TRIP,-12.43
2026-05-01,PELOTON APP MEMBERSHIP,-12.99
2026-05-01,DIRECT DEP EMPLOYER PAYROLL,3182.43
2026-05-01,TARGET,-89.69
2026-05-02,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-05-03,NETFLIX.COM 866-579-7172 CA,-15.99
2026-05-04,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-05-05,VERIZON WIRELESS PAYMENT,-85.00
2026-05-05,CHIPOTLE MEXICAN GRILL,-16.50
2026-05-08,PG&E ELECTRIC UTILITY,-120.13
2026-05-09,DISNEY PLUS,-13.99
2026-05-10,CHEVRON GAS STATION,-29.00
2026-05-11,SPOTIFY USA,-10.99
2026-05-12,STARBUCKS,-11.54
2026-05-12,CVS PHARMACY,-26.41
2026-05-14,APPLE.COM/BILL ICLOUD+,-2.99
2026-05-15,DIRECT DEP EMPLOYER PAYROLL,3226.83
2026-05-18,ADOBE CREATIVE CLOUD,-54.99
2026-05-19,NYTIMES*DIGITAL SUBSCRIPTION,-17.00
2026-05-22,AUDIBLE*AMZN.COM/BILL,-14.95
2026-05-24,CVS PHARMACY,-24.61
2026-05-24,CHIPOTLE MEXICAN GRILL,-19.34
2026-05-26,SHELL OIL,-41.49
2026-05-27,BEST BUY,-47.35
2026-05-28,CVS PHARMACY,-6.15
2026-05-28,TRADER JOE'S,-33.12
2026-05-29,DIRECT DEP EMPLOYER PAYROLL,3155.59
2026-06-01,PELOTON APP MEMBERSHIP,-12.99
2026-06-01,RENT PAYMENT - GREENWOOD APTS,-1800.00
2026-06-03,PLANET FITNESS #4471 MEMBERSHIP,-24.99
2026-06-03,HOME DEPOT,-131.60
2026-06-03,BEST BUY,-123.43
2026-06-04,CHIPOTLE MEXICAN GRILL,-9.89
2026-06-04,TRADER JOE'S,-13.05
2026-06-05,NETFLIX.COM 866-579-7172 CA,-15.99
2026-06-08,CVS PHARMACY,-36.79
2026-06-09,VERIZON WIRELESS PAYMENT,-85.00
2026-06-09,LOCAL BISTRO RESTAURANT,-35.30
2026-06-09,UBER TRIP,-21.81
2026-06-10,DISNEY PLUS,-13.99
2026-06-12,PG&E ELECTRIC UTILITY,-156.98
